Price,SquareFootage,SchoolRating,RenovationQuality,Garage,CrimeRate,LocalAmenities
432760.687,1392.66,5.15,3.8,0,6.67,6.3
354779.4553,550.0,7.96,4.03,0,10.96,5.82
260091.1449,1201.61,5.19,5.09,1,37.18,8.88
222777.0701,659.51,6.68,3.77,1,49.07,2.17
205391.0143,828.57,9.46,5.59,0,12.18,3.62
533177.8282,1346.49,10.0,5.9,1,23.97,2.68
489571.0562,1305.51,9.15,4.14,0,51.56,1.65
144597.1668,550.0,6.5,3.69,1,7.63,9.22
119365.209,550.0,6.57,2.12,0,41.38,1.83
185506.6524,1074.52,6.5,2.04,0,76.47,0.59
174760.7324,550.0,6.61,4.97,0,30.89,6.49
402303.617,2206.64,9.32,9.87,1,18.53,10.0
175046.6052,550.0,6.44,5.57,0,47.88,8.66
116537.0207,949.75,3.19,1.83,1,56.33,10.0
542695.4537,1325.64,5.55,2.06,0,43.44,1.28
148416.2628,1285.27,6.06,4.45,0,6.6,6.4
292000.4039,974.78,6.12,5.32,0,58.37,1.06
112204.4099,581.23,8.6,1.01,0,17.23,4.9
553654.66,1306.01,6.33,5.23,0,27.31,8.94
226658.9276,818.02,7.2,6.46,0,19.43,6.09
474262.431,1477.56,7.5,5.61,0,25.58,3.8
177071.275,550.0,5.34,1.93,0,62.82,6.75
353108.2819,1104.28,5.27,4.99,1,8.22,9.21
384186.1217,1740.6,8.54,8.38,0,15.37,10.0
300406.5819,1212.51,4.79,4.3,0,28.92,5.88
183644.5634,991.61,6.92,3.39,0,26.79,7.22
126108.4073,662.79,7.45,6.12,1,65.46,8.18
188197.7996,1012.32,8.98,4.96,1,50.62,4.86
176455.1209,1001.99,9.0,4.6,0,46.19,2.93
280736.3999,897.88,10.0,5.25,0,10.98,2.78
605073.6116,1029.28,9.29,8.59,0,15.57,5.34
572622.5536,1250.32,5.59,5.81,0,35.24,0.36
230173.566,976.35,7.88,3.76,0,5.77,9.87
134947.6784,571.32,5.28,1.01,0,6.49,0.68
504221.8113,1379.86,8.59,5.94,0,5.79,5.71
448917.0742,1285.44,7.47,6.72,0,30.45,7.18
277255.8684,1427.16,10.0,8.77,1,14.57,3.56
261564.5218,1004.4,7.36,5.96,0,42.66,4.32
286534.2868,1562.16,6.14,6.21,0,29.29,8.66
401616.0384,1324.19,8.52,5.55,0,16.72,3.91
476443.3303,1692.33,9.25,5.76,0,55.26,10.0
119751.4925,550.0,7.16,5.38,1,26.94,2.88
259050.8582,886.37,9.02,6.42,1,34.23,10.0
210775.7641,1413.7,6.3,4.34,1,18.53,0.98
299223.8467,1457.95,4.2,4.17,0,43.05,10.0
264770.1768,1613.59,6.33,7.32,0,8.74,8.51
268929.6573,965.59,8.57,4.12,0,47.1,4.99
154037.7848,1196.62,5.56,6.89,1,37.55,4.5
310388.4997,1023.19,8.63,7.71,0,10.89,10.0
566227.9255,1146.53,8.67,7.76,0,32.84,9.96
163205.7631,839.39,6.27,3.93,0,25.97,2.02
288038.3703,1196.5,9.06,10.0,1,34.28,8.73
510530.1082,1125.23,8.43,4.91,0,38.18,7.94
94995.80949,550.0,3.84,2.79,0,31.2,6.24
334203.7175,945.19,6.99,5.1,0,7.87,8.95
212222.81,862.03,8.46,6.64,0,1.26,9.76
354911.9709,634.61,7.07,4.49,1,44.41,7.22
297423.1277,1227.28,7.82,6.34,1,17.46,8.03
403224.7699,1914.87,9.24,6.72,0,30.67,3.96
159538.5303,1014.33,4.97,4.18,0,42.34,9.74
162549.3752,937.22,3.43,2.02,0,10.91,6.44
261979.9442,918.9,4.63,3.56,0,48.74,5.49
291613.4365,1115.77,6.03,2.69,1,21.84,5.43
178277.2988,783.68,4.85,1.52,0,22.14,6.22
243042.0806,658.32,7.43,6.1,1,35.95,6.52
750242.8919,2119.1,10.0,7.64,0,48.07,7.73
228650.8296,713.4,4.96,5.23,0,12.85,5.53
292786.7026,550.0,7.59,2.93,1,6.62,7.65
453849.3753,976.05,5.23,4.99,0,37.47,2.89
341753.2277,1464.35,7.54,6.43,0,31.06,5.5
276203.1453,550.0,6.99,4.85,0,43.48,4.55
126350.2557,550.0,3.98,1.71,1,21.68,6.2
713417.5022,1028.15,9.55,9.42,1,2.21,4.8
300214.8036,1538.8,5.27,5.36,0,8.36,5.57
216437.7761,1010.25,8.51,3.83,1,0.27,8.2
247526.258,1001.08,6.47,4.81,1,33.83,3.17
762685.9792,1328.23,7.75,5.43,0,20.34,4.31
303353.3029,1803.96,9.52,5.34,1,30.68,3.71
427537.2168,899.55,8.52,4.73,0,0.85,2.5
722695.5967,1345.36,10.0,8.11,1,14.77,5.82
319396.2929,974.62,9.53,8.12,1,0.56,8.01
235053.9275,990.97,4.36,4.62,0,62.61,7.22
477659.6964,1564.88,8.1,2.09,0,37.87,4.26
444298.2849,1247.06,7.45,5.49,0,17.85,5.12
379773.8959,689.99,9.06,5.5,0,32.47,10.0
324888.5534,587.82,6.37,4.85,0,6.09,6.57
170579.0863,1140.53,6.44,3.74,1,47.3,7.74
238164.0926,742.88,8.12,7.31,1,8.13,9.52
325511.0531,1598.52,9.69,5.56,0,2.16,5.54
98879.35132,550.0,6.49,2.81,0,41.57,10.0
697476.7486,1532.66,8.27,7.32,0,27.68,5.08
339707.7197,2024.4,5.01,5.63,0,24.58,1.78
203699.5856,1327.51,10.0,6.38,0,15.69,4.64
387011.2144,1262.8,7.64,3.36,0,9.49,8.46
202422.2535,570.34,4.08,4.6,0,51.91,10.0
150330.041,1137.38,3.8,0.79,1,66.78,5.94
208564.8321,550.0,5.93,5.31,0,56.27,3.33
417684.3441,993.33,7.26,3.9,0,13.15,5.95
247180.2754,650.07,5.96,4.43,0,57.1,7.66
208962.346,935.67,5.97,4.83,0,26.2,6.64
456675.9896,1187.94,8.64,4.45,0,2.47,6.81
248034.4002,1158.16,7.38,5.64,0,2.27,4.63
535154.4711,1070.45,7.48,4.4,0,19.79,8.13
266465.0939,1139.31,6.72,5.59,1,65.66,7.91
116907.4444,825.43,7.29,4.89,0,80.57,4.57
115969.8443,857.34,5.15,5.08,0,32.1,6.56
274839.1916,1334.34,6.75,5.75,1,25.1,1.41
335335.0951,1380.39,10.0,9.06,1,58.47,9.32
301123.5065,1295.36,4.39,4.92,1,44.02,4.04
307325.5166,694.2,8.75,3.25,0,49.35,0.23
230680.7247,550.0,7.73,5.21,1,19.0,4.76
366239.7416,1798.59,9.22,2.84,0,27.94,8.4
362981.6337,550.0,6.35,5.26,0,36.6,6.01
250070.1344,1112.62,2.42,3.68,0,12.4,6.25
184006.5948,550.0,3.95,1.7,1,30.0,2.28
294577.2724,1482.32,5.07,6.67,1,34.22,5.28
344017.9281,1287.98,7.6,3.63,0,27.01,6.94
502926.1317,1236.81,5.76,5.15,0,21.12,8.1
107694.0092,790.99,3.81,2.7,0,23.69,7.05
283570.2735,1006.86,6.83,4.43,0,46.62,10.0
538399.5854,1396.88,10.0,7.48,1,4.72,2.89
286044.0372,1143.53,5.68,6.98,0,42.78,9.57
504855.9148,1705.16,9.31,4.97,1,35.25,2.19
617207.559,1001.8,8.27,5.69,0,23.34,6.43
435016.3557,915.19,6.01,5.1,0,62.33,4.75
567107.0582,1154.13,7.18,3.92,1,40.54,8.45
501365.3676,944.48,5.99,7.88,1,37.29,5.48
332048.7969,666.65,7.96,3.02,1,4.65,10.0
190078.5479,675.76,5.91,3.58,1,18.34,5.29
315392.5697,1261.2,9.06,3.69,1,22.1,5.03
483538.6537,593.3,8.49,2.6,0,29.29,2.4
557698.2794,659.08,10.0,8.62,1,16.99,6.79
507694.0321,1875.77,7.05,6.08,1,31.67,10.0
268895.1762,1793.47,6.73,6.5,0,28.07,4.85
351567.7913,853.43,5.64,3.73,0,48.98,10.0
223834.2497,550.0,7.03,6.66,0,0.22,7.24
236852.6988,1611.13,4.36,4.23,1,33.11,5.19
298685.3339,885.92,6.68,6.25,0,38.86,7.29
200794.2658,1195.55,5.17,3.19,1,29.9,10.0
435836.4462,839.29,8.5,5.91,0,20.54,10.0
240209.1375,550.0,6.52,5.31,0,39.48,7.75
568980.2354,1941.32,3.9,6.08,0,36.91,3.2
172888.1978,550.0,6.99,5.61,0,4.6,6.2
230280.9959,550.0,6.16,2.32,0,31.7,6.98
482617.6292,853.76,8.24,4.36,1,5.13,9.5
481282.1057,1033.37,4.52,4.15,1,18.95,3.19
461748.4582,1173.15,7.19,2.04,1,34.46,4.56
497949.1295,1820.82,7.02,4.24,0,31.5,7.99
329136.4279,999.38,4.54,3.66,0,0.89,8.29
111900.5148,1236.63,8.75,1.35,0,56.61,5.24
482068.3311,1318.16,9.07,6.77,0,2.85,7.27
569970.3125,1490.23,8.78,6.07,0,49.56,9.49
254576.9433,550.0,7.82,8.89,1,45.75,7.66
208835.2267,1334.33,6.17,4.77,1,36.37,4.84
484182.6847,1448.76,6.96,8.07,0,27.39,4.5
614439.273,1792.24,10.0,3.96,1,23.96,3.69
216972.8449,1131.43,7.86,5.61,1,44.31,4.86
336400.2977,1064.72,6.74,4.96,1,54.88,3.33
625386.2148,1600.25,8.99,6.27,0,24.56,5.9
621514.0038,647.08,7.66,5.98,1,34.31,6.01
234150.2392,550.0,4.95,3.12,1,38.1,3.62
449874.4741,1381.99,5.05,6.6,0,58.52,6.39
483718.5452,905.37,9.91,5.39,1,25.67,9.89
245781.3098,1279.97,7.61,5.5,1,39.89,5.27
290923.8511,1204.83,7.68,6.31,1,38.48,0.07
116809.1831,550.0,4.29,2.28,1,40.41,8.68
494924.5852,2277.23,7.12,7.51,1,15.61,9.3
269063.9548,579.71,6.73,4.2,1,42.23,2.79
129891.1783,550.0,9.06,3.88,0,45.4,9.76
368225.0555,767.05,8.62,6.6,1,33.59,8.49
449645.9079,1692.07,9.83,4.54,0,14.24,7.77
578788.0282,1403.29,7.81,8.63,0,16.39,6.18
271197.4971,609.92,2.53,2.33,1,1.63,2.78
207249.2201,779.94,6.4,1.66,0,34.3,9.05
244113.9497,1551.51,9.15,5.59,0,45.07,7.5
327285.1714,858.13,6.54,3.79,1,13.72,6.11
110427.8589,838.47,5.0,2.1,1,55.18,8.66
175056.4765,1208.75,6.17,4.43,0,48.69,4.71
170448.1784,1067.85,5.16,6.22,0,19.06,10.0
242997.8024,550.0,8.32,4.9,0,43.1,5.59
447293.5671,1261.09,6.45,5.48,0,22.74,5.94
132976.4748,962.64,7.81,1.49,0,52.53,6.26
351693.9419,1670.63,7.0,5.58,1,40.71,1.75
484361.1995,1789.95,9.21,5.89,0,41.5,8.7
409313.7256,1295.36,9.72,6.69,0,20.82,5.63
156388.6005,550.0,4.64,6.1,1,6.66,6.54
167927.7775,1063.8,3.47,0.52,1,38.73,6.79
149706.996,550.0,4.92,0.36,0,20.81,8.22
162320.7656,999.91,4.83,4.29,0,33.14,4.36
484760.7987,1297.6,10.0,6.6,0,29.19,8.14
438060.8193,1553.57,10.0,8.8,1,18.8,6.66
574448.2788,1165.23,10.0,5.89,0,36.77,1.47
375958.5058,878.26,3.34,2.75,0,23.87,6.55
227140.276,1504.02,6.53,4.36,0,6.79,10.0
620197.351,1956.12,9.04,5.55,1,17.69,3.69
145718.0224,550.0,6.23,0.76,0,53.61,6.42
289914.9883,550.0,7.84,1.39,0,65.22,9.01
216518.4468,1507.57,8.01,5.95,0,27.28,8.69
111989.9103,1496.01,5.52,2.59,0,35.22,5.43
616482.7778,1999.62,9.89,6.9,0,7.78,6.69
197207.6826,762.42,5.95,1.64,1,26.29,9.23
311390.3588,1201.92,5.88,4.74,1,30.9,1.61
431435.5791,1584.13,8.67,6.41,1,41.2,7.03
498851.7088,890.09,10.0,6.93,0,62.7,8.59
343397.9756,2218.22,9.2,4.68,1,11.18,7.66
285544.6458,1463.95,9.13,7.07,0,42.67,4.46
302024.3159,1262.48,10.0,5.0,0,70.45,7.62
353651.7208,1156.5,7.93,5.93,1,4.54,7.8
277441.6937,1065.81,6.61,3.62,0,38.53,8.99
469642.9725,1154.31,8.63,3.73,1,43.9,4.12
276244.1398,570.62,7.37,5.63,0,46.15,4.94
606218.4322,1681.58,6.92,10.0,0,18.3,8.26
219950.3383,1270.45,6.64,6.81,0,46.96,5.68
440072.279,1538.84,10.0,6.71,0,52.81,6.18
213777.2447,550.0,7.46,5.91,0,25.45,4.86
339540.6449,1257.89,7.0,4.33,0,26.28,7.51
122312.5598,743.76,7.74,3.18,1,27.75,6.87
293364.156,550.0,9.61,5.25,1,17.7,6.51
215967.2741,769.45,3.44,5.54,1,30.9,2.16
331897.4486,1129.74,8.36,4.2,0,29.21,4.98
164664.3915,550.0,9.59,5.21,1,14.58,5.29
404050.905,1320.61,10.0,7.27,1,34.88,10.0
354930.9638,1838.25,6.21,7.46,0,26.82,8.5
503702.0815,1417.73,9.53,7.37,0,8.17,6.22
256654.3421,1555.84,7.83,4.29,0,43.66,6.78
302150.1384,730.35,9.44,8.82,1,24.48,10.0
402845.5918,1923.1,8.76,5.45,1,12.89,9.23
116027.4198,812.28,8.59,5.52,1,39.02,9.35
95856.1153,550.0,7.23,0.67,1,15.82,4.04
578051.277,1302.97,10.0,7.81,1,47.03,7.52
294936.6514,1556.12,7.33,6.08,0,49.12,1.49
687739.1966,1300.81,9.01,5.51,1,3.26,10.0
677502.42,1635.4,10.0,10.0,1,10.9,10.0
161126.4561,550.0,6.4,5.26,1,48.3,7.4
222140.2512,1092.1,7.43,5.1,1,36.74,0.18
135171.2247,946.9,6.08,1.35,1,25.8,5.44
101762.9942,1168.46,3.46,5.73,0,29.58,8.36
492082.8928,1216.56,9.57,7.79,0,8.96,9.46
139220.3462,797.81,5.9,2.84,1,15.99,6.46
176181.3239,550.0,8.65,6.9,1,4.1,10.0
196785.7624,550.0,7.07,5.11,0,43.86,10.0
313223.53,550.0,8.92,1.14,0,33.45,1.58
256992.6982,1134.26,3.72,4.78,1,28.28,4.54
243166.5359,709.19,4.45,3.27,0,37.96,4.64
408698.952,1640.35,6.41,4.9,1,46.36,5.0
276102.4432,550.0,4.44,3.6,1,39.13,4.62
380770.1555,1151.93,4.67,4.41,1,65.77,7.06
109888.7624,1027.26,5.01,3.25,1,32.25,5.79
719331.4896,1628.62,10.0,10.0,0,28.89,10.0
188004.8544,1024.61,6.13,5.59,0,11.38,2.12
220449.0188,641.92,8.73,5.51,0,1.13,4.39
520564.0123,1478.31,9.21,6.75,1,28.23,8.26
727626.7059,1432.2,6.95,7.66,0,33.01,5.44
372714.9939,594.62,6.23,6.92,1,45.63,2.79
574331.2741,1194.72,6.65,7.96,0,31.38,3.38
139960.6686,829.94,6.82,6.37,1,27.17,2.45
394371.9124,1668.25,7.54,9.06,1,29.89,7.21
94945.29121,550.0,3.52,0.78,1,18.12,10.0
303217.004,702.41,9.12,6.42,0,48.76,10.0
242504.056,550.0,4.83,4.5,1,28.86,8.44
234171.1958,550.0,7.65,5.95,0,46.01,5.73
323535.7209,674.28,5.89,5.3,1,3.19,6.02
99796.15875,550.0,5.71,2.11,1,18.32,1.55
394288.3338,1191.59,5.56,4.76,1,45.84,10.0
279007.9273,931.73,7.77,3.17,0,0.72,6.26
610665.3734,1488.74,8.4,5.88,1,13.92,8.02
427431.2759,1218.44,6.85,6.52,1,19.22,4.8
205364.9148,682.7,8.04,3.75,0,20.91,5.97
364752.9646,1647.67,7.94,4.57,1,12.86,5.5
332036.4027,853.04,3.65,3.1,1,31.06,2.81
118272.4447,595.71,3.59,2.48,0,35.65,7.63
121928.5813,1106.95,7.17,3.77,1,10.43,4.9
420325.6531,1091.16,10.0,7.65,0,30.23,4.34
272823.1207,550.0,9.86,4.96,0,51.63,10.0
440762.3342,1519.89,6.66,5.09,0,20.01,4.07
545962.0806,1835.88,7.53,5.28,0,46.18,5.96
332625.6738,550.0,4.96,2.23,0,55.26,7.48
331474.4211,550.0,6.36,2.64,0,62.44,4.98
286157.5785,1072.14,9.77,6.32,0,54.33,5.64
250327.6615,931.61,8.26,4.85,0,62.45,5.56
296217.7279,550.0,6.52,6.5,0,60.97,7.42
507060.376,1006.33,7.41,9.97,0,35.3,8.46
125908.1015,550.0,4.93,6.65,0,28.19,2.49
145967.6379,1065.79,2.86,3.07,0,43.31,3.44
102298.3893,550.0,5.09,4.09,0,40.78,6.61
283376.6543,977.03,9.22,5.83,0,55.6,6.51
123699.6303,550.0,7.56,2.77,1,24.11,3.51
277242.4891,828.63,8.72,7.06,0,35.9,7.28
195297.2596,550.0,6.26,1.48,1,13.81,6.69
256483.9589,1195.99,7.74,5.74,0,16.13,10.0
306823.9859,1122.01,9.77,6.91,1,53.08,4.36
333916.3553,1153.29,10.0,3.41,1,17.63,4.52
323380.2074,859.83,7.67,5.14,0,21.88,5.06
347052.8596,550.0,5.67,2.92,0,23.23,6.99
377781.3912,550.89,9.45,3.76,0,7.71,4.54
144233.9454,550.0,7.06,4.81,0,33.86,7.06
108684.8082,1070.82,4.52,3.26,0,39.25,5.77
198059.0707,941.24,10.0,3.51,0,11.42,2.65
107551.5454,550.0,7.3,1.32,0,41.02,3.83
289804.9546,913.84,8.21,1.42,1,6.08,8.05
331247.0143,1441.86,7.75,6.47,0,40.12,7.08
560800.3538,1201.17,8.01,5.83,0,25.32,5.73
155163.1578,737.43,7.66,4.39,0,47.35,3.17
799996.2481,1931.09,10.0,6.76,0,8.75,6.53
185241.968,1378.95,7.93,7.54,1,22.48,6.92
289653.3039,1202.42,9.59,5.0,0,21.15,9.05
397043.65,933.54,5.87,5.22,0,52.34,9.86
388935.8589,550.0,5.03,6.36,0,39.27,7.23
335517.7029,1318.62,7.43,4.49,1,3.55,5.67
345504.5387,1338.96,4.36,2.75,0,43.5,5.46
131576.8368,550.0,5.61,4.9,1,13.84,3.23
241167.3799,759.96,2.38,2.62,1,19.22,4.61
215596.0861,555.88,8.67,5.99,0,19.56,7.29
220116.8995,1510.32,6.23,2.58,0,44.06,2.49
173749.1011,550.0,5.32,2.61,0,62.86,7.23
292423.6433,670.93,9.28,6.21,0,24.92,7.43
398883.5375,2003.59,7.02,6.36,0,36.17,6.08
539870.7988,1249.28,10.0,5.49,0,29.45,10.0
257858.5181,1621.94,5.88,7.46,0,34.41,10.0
170808.2439,550.0,7.16,4.15,0,56.21,2.27
451392.1117,1303.24,8.94,4.79,1,25.71,8.64
324337.8834,1486.63,3.98,4.8,0,21.19,4.03
344345.3157,550.0,6.43,6.58,0,38.03,3.45
205922.9258,550.0,5.48,2.22,0,91.47,9.03
355509.5762,1138.98,7.61,5.12,0,43.64,2.53
151913.9993,1488.04,6.58,3.96,0,22.05,4.06
214878.8232,796.96,7.04,1.52,1,35.29,3.06
444847.9144,1813.67,6.41,7.21,0,10.48,2.52
398233.5466,1466.29,10.0,6.43,1,49.4,10.0
411587.6099,1689.08,5.07,5.43,0,32.95,9.3
420596.5449,2482.45,9.21,5.83,0,11.72,2.8
329381.1695,1377.51,5.7,3.41,0,71.59,6.89
455850.4011,2249.93,8.38,7.98,1,46.21,8.76
142522.0527,764.69,6.3,4.25,1,45.4,2.7
107197.9481,550.0,6.15,4.9,0,14.7,7.79
190849.8791,612.66,5.53,6.82,0,34.45,6.77
138761.6006,550.0,3.71,1.89,0,34.45,7.22
171463.446,1315.31,5.47,4.35,1,10.45,0.69
264295.7018,1381.63,6.94,6.82,0,15.09,10.0
414789.0218,1316.55,6.81,5.01,1,33.98,5.92
228871.9721,929.41,8.63,4.61,0,6.89,0.94
258466.8909,1036.9,4.72,5.25,0,17.3,2.27
168038.4429,1166.6,5.72,2.99,0,3.84,4.64
111939.1888,600.31,8.25,0.78,1,38.31,5.17
114429.4825,550.0,4.06,4.81,1,40.94,10.0
300868.3153,1386.17,8.07,2.14,1,34.97,7.63
255152.0647,919.36,5.43,5.82,1,7.15,6.39
275311.908,1608.98,8.7,4.41,0,18.83,5.39
173809.6441,1125.06,6.58,3.53,0,30.84,5.31
564164.8118,2468.58,6.22,5.89,1,61.91,1.31
286637.342,1592.82,6.09,5.76,0,62.74,6.64
98659.48993,736.17,5.79,2.49,0,28.98,5.02
370321.2777,1435.66,6.95,6.42,0,23.38,2.87
836990.2311,1731.68,3.33,7.27,0,27.41,10.0
248909.1914,1605.01,6.59,5.99,0,11.83,4.48
191458.4188,550.0,6.83,3.02,0,70.38,2.21
249787.5681,888.39,8.08,6.16,1,29.2,4.55
129388.2699,550.0,1.79,2.42,1,39.23,3.63
201435.0774,591.93,6.62,3.29,1,14.57,4.87
107628.6258,907.08,3.26,0.68,0,23.46,6.78
181675.5726,885.62,8.79,4.28,0,5.33,4.7
239449.537,1293.03,5.6,4.92,1,48.02,4.91
134130.7502,550.0,7.98,7.26,0,63.37,8.43
363913.0036,982.41,7.52,3.69,0,12.13,9.04
252241.3202,550.0,4.18,2.66,0,28.43,9.23
380064.2378,680.25,7.36,4.2,1,47.98,5.13
180707.6909,810.88,3.96,4.12,0,45.42,9.89
202608.9636,1334.82,4.77,2.65,1,45.04,9.41
436602.8189,1440.35,7.48,5.69,1,37.32,6.41
282404.5476,1156.97,6.7,2.82,0,18.81,6.59
103024.6398,664.28,8.76,4.22,1,39.91,2.45
416916.7072,1707.82,7.55,6.33,1,15.85,4.27
229454.0694,1572.26,4.45,8.58,1,16.94,5.21
494415.0555,1561.56,6.15,3.93,1,31.4,3.96
381476.7155,1216.64,10.0,6.64,0,0.11,5.58
432756.0642,1586.43,4.63,6.72,1,51.48,4.17
348708.1724,1393.42,5.25,5.33,0,0.91,2.11
333119.4581,1312.07,9.83,5.99,0,43.54,8.23
372258.5187,1093.65,8.35,8.8,0,50.52,10.0
270249.3015,820.59,7.34,4.87,0,53.91,10.0
194451.5922,691.89,6.49,4.74,0,43.26,4.29
344911.5591,1090.36,8.53,2.68,1,10.7,8.96
103212.0744,550.0,4.22,3.13,0,49.0,2.18
265068.4697,1142.34,9.3,6.32,0,42.96,9.77
209252.8357,1001.9,6.76,3.44,1,32.64,6.91
286713.1975,1505.34,7.67,3.99,1,47.24,7.22
414962.7495,1222.16,5.77,7.51,0,57.28,7.29
468762.634,1633.13,6.98,9.78,1,22.3,10.0
622313.4809,1135.3,8.2,6.0,0,41.46,6.91
212746.8088,679.57,7.35,3.8,0,46.36,2.49
104559.5556,550.0,5.92,2.39,1,71.08,1.75
185058.3866,728.37,3.96,4.62,0,63.51,5.71
359293.2998,1678.43,5.79,5.32,1,48.43,10.0
169620.8021,963.94,8.24,5.14,1,24.81,3.92
562484.0227,2816.76,2.05,3.12,0,59.39,1.91
119850.694,695.79,5.87,4.57,1,61.68,7.17
455877.0274,1029.31,5.76,5.66,1,44.29,1.89
227345.9975,1068.57,8.0,7.35,0,17.17,4.82
931377.1891,1423.57,8.87,9.68,0,21.33,4.03
250712.5108,608.27,7.29,3.94,0,6.57,10.0
314431.4141,550.0,2.42,1.71,1,18.47,2.2
410418.3467,1438.6,9.09,6.77,1,8.61,7.98
176632.1144,550.0,5.88,2.73,1,75.52,9.49
363716.895,1445.21,10.0,5.55,1,58.13,5.14
146124.9394,1419.79,5.68,3.8,0,52.85,5.25
416635.855,1128.26,7.24,5.95,1,29.71,8.89
545669.8696,1504.98,7.06,6.76,0,55.41,7.26
199128.6832,1231.15,4.0,6.29,1,9.22,5.41
271239.7578,1017.91,5.13,2.69,1,9.07,6.91
458112.4045,648.52,4.72,4.48,0,64.15,6.89
221530.8266,1014.76,8.91,4.14,0,32.66,5.53
653603.5026,849.29,9.51,8.66,0,16.08,10.0
191719.6633,550.0,3.55,3.69,0,52.51,5.77
161330.406,550.0,4.81,2.18,0,72.88,10.0
355199.2606,1153.92,7.06,6.09,0,14.18,4.77
267017.7293,1037.16,4.66,2.47,0,76.57,2.55
167115.5675,746.57,7.52,3.48,0,26.32,7.68
239641.2752,553.63,4.58,0.24,1,12.56,8.72
312105.731,852.81,7.9,3.22,1,19.94,8.79
215665.2148,1278.89,6.24,6.48,0,33.99,5.84
153829.4032,731.64,7.75,3.71,1,18.57,7.99
276257.7839,1179.53,7.96,3.17,0,30.89,9.07
358084.3671,1379.4,4.36,3.96,0,38.54,6.56
309724.8098,1432.99,10.0,6.58,0,3.2,10.0
487725.8608,1679.32,7.8,8.54,0,48.44,7.95
413947.5455,1648.14,10.0,6.37,0,27.48,4.82
509765.5037,808.35,6.86,7.53,0,45.25,8.18
402121.6345,550.0,6.7,5.73,1,37.67,3.47
219051.4837,860.5,7.49,5.09,0,28.98,4.57
220771.2414,1573.03,5.19,3.89,0,8.91,6.85
249026.8006,1297.69,9.13,3.54,0,37.61,6.35
485993.7025,1016.55,10.0,6.74,0,12.71,3.79
283571.5975,1724.22,10.0,6.52,1,41.67,3.38
290976.1554,1455.1,9.14,7.09,1,17.4,1.36
357064.8566,923.29,8.84,6.07,0,23.68,9.29
304463.4501,1772.98,7.83,3.9,0,38.5,10.0
655183.3652,1450.16,5.84,9.07,0,11.26,5.92
150242.8915,592.47,8.63,6.67,1,11.41,10.0
110357.4044,917.22,2.98,3.87,1,43.24,6.2
169536.3962,550.0,6.69,4.39,1,56.88,2.51
343331.3822,1327.58,8.58,5.71,0,34.7,2.8
167303.231,752.77,2.65,2.68,0,51.78,2.27
365333.5173,981.82,6.5,2.22,0,66.23,6.28
390192.2257,1080.31,3.76,2.68,0,27.55,6.07
192947.1811,711.33,2.27,2.09,0,33.17,7.08
503314.3608,1899.3,8.8,6.2,0,22.73,6.03
155597.2831,864.41,3.78,4.39,1,94.46,5.34
204755.9384,1131.51,3.48,4.47,0,29.97,2.44
349919.6373,1545.95,10.0,8.18,0,35.09,6.51
294657.38,1480.48,7.59,4.71,1,9.74,5.72
392663.8886,1402.17,8.02,6.12,0,10.71,6.4
228139.8188,682.98,6.62,5.18,0,33.14,8.5
